,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1622,44,entrepreneur,married,tertiary,no,3689,yes,no,unknown,16,may,134,3,-1,0,unknown,no
1623,36,blue-collar,married,primary,no,0,yes,no,unknown,21,may,59,2,-1,0,unknown,no
1624,31,services,divorced,secondary,no,1222,yes,no,unknown,20,may,532,1,-1,0,unknown,no
1625,37,blue-collar,married,primary,no,496,yes,no,unknown,8,may,137,2,-1,0,unknown,no
1626,51,blue-collar,married,primary,no,653,yes,yes,unknown,6,may,208,1,-1,0,unknown,no
1627,53,retired,married,secondary,no,303,yes,no,unknown,6,may,593,2,-1,0,unknown,no
1628,56,entrepreneur,married,tertiary,no,8741,yes,no,unknown,20,may,318,3,-1,0,unknown,no
1629,59,admin.,married,secondary,no,230,yes,no,unknown,6,may,190,3,-1,0,unknown,no
1630,24,self-employed,single,secondary,no,0,yes,no,unknown,6,may,278,1,-1,0,unknown,no
1631,49,services,married,secondary,no,-8,yes,no,unknown,8,may,1119,1,-1,0,unknown,yes
1632,46,entrepreneur,married,tertiary,no,-43,no,no,unknown,12,may,138,8,-1,0,unknown,no
1633,42,admin.,single,tertiary,no,3465,yes,no,unknown,23,may,373,9,-1,0,unknown,no
1634,36,blue-collar,married,secondary,no,-9,yes,no,unknown,9,may,137,3,-1,0,unknown,no
1635,36,self-employed,single,tertiary,no,3560,no,no,unknown,2,jun,409,2,-1,0,unknown,no
1636,45,blue-collar,divorced,primary,no,104,yes,no,unknown,16,may,206,4,-1,0,unknown,no
1637,51,services,married,unknown,no,518,no,no,unknown,5,jun,312,3,-1,0,unknown,no
1638,23,management,single,unknown,no,375,yes,no,unknown,9,may,194,3,-1,0,unknown,no
1639,43,unemployed,married,secondary,no,210,yes,no,unknown,12,may,88,5,-1,0,unknown,no
1640,52,technician,divorced,primary,no,1500,no,no,unknown,15,may,148,3,-1,0,unknown,no
1641,30,technician,married,secondary,no,1,yes,no,unknown,30,may,189,5,-1,0,unknown,no
1642,52,services,married,secondary,no,108,yes,no,unknown,15,may,543,12,-1,0,unknown,no
1643,49,management,single,tertiary,no,53,no,no,unknown,6,jun,133,3,-1,0,unknown,no
1644,32,blue-collar,married,secondary,no,478,yes,no,unknown,3,jun,200,1,-1,0,unknown,no
1645,33,technician,married,secondary,no,168,yes,no,unknown,26,may,238,2,-1,0,unknown,no
1646,33,services,divorced,secondary,no,327,yes,no,unknown,7,may,109,1,-1,0,unknown,no
1647,33,technician,married,secondary,yes,72,yes,no,unknown,6,may,623,1,-1,0,unknown,no
1648,50,entrepreneur,married,secondary,no,556,yes,no,unknown,16,may,130,2,-1,0,unknown,no
1649,37,services,married,secondary,no,651,no,no,unknown,9,jun,220,2,-1,0,unknown,no
1650,34,blue-collar,married,secondary,no,1710,yes,yes,unknown,19,may,187,3,-1,0,unknown,no
1651,45,technician,single,secondary,no,410,yes,no,unknown,30,may,891,4,-1,0,unknown,yes
1652,37,blue-collar,married,primary,no,321,yes,no,unknown,7,may,228,2,-1,0,unknown,no
1653,32,blue-collar,married,primary,no,206,yes,no,unknown,20,may,205,2,-1,0,unknown,no
1654,37,management,single,tertiary,no,1379,yes,no,unknown,23,may,319,3,-1,0,unknown,no
1655,42,housemaid,married,primary,no,14752,no,no,unknown,19,may,107,2,-1,0,unknown,no
1656,38,unemployed,married,primary,no,447,yes,no,unknown,7,may,365,4,-1,0,unknown,no
1657,42,blue-collar,married,primary,no,479,yes,no,unknown,9,may,391,2,-1,0,unknown,no
1658,36,admin.,divorced,tertiary,no,125,yes,no,unknown,26,may,172,1,-1,0,unknown,no
1659,31,blue-collar,married,secondary,no,43,yes,no,unknown,19,may,405,3,-1,0,unknown,no
1660,57,services,single,secondary,no,2236,yes,no,unknown,14,may,73,2,-1,0,unknown,no
1661,27,blue-collar,single,secondary,no,45,yes,no,unknown,9,may,352,1,-1,0,unknown,no
1662,38,blue-collar,married,primary,no,2366,yes,no,unknown,26,may,97,4,-1,0,unknown,no
1663,29,self-employed,married,secondary,no,542,no,no,unknown,28,may,104,3,-1,0,unknown,no
1664,27,admin.,single,secondary,no,110,yes,no,unknown,28,may,135,1,-1,0,unknown,no
1665,36,management,married,tertiary,no,293,yes,no,unknown,27,may,287,4,-1,0,unknown,no
1666,53,technician,divorced,primary,no,1443,yes,no,unknown,14,may,476,1,-1,0,unknown,yes
1667,40,blue-collar,single,primary,no,1055,no,no,unknown,6,jun,32,2,-1,0,unknown,no
1668,32,blue-collar,single,secondary,no,706,yes,no,unknown,20,may,152,1,-1,0,unknown,no
1669,47,admin.,divorced,secondary,no,-364,yes,yes,unknown,9,jun,240,2,-1,0,unknown,no
1670,38,blue-collar,single,secondary,no,1230,yes,no,unknown,6,jun,266,2,-1,0,unknown,no
1671,40,blue-collar,married,secondary,no,327,yes,no,unknown,29,may,134,1,-1,0,unknown,no
1672,29,blue-collar,married,secondary,no,2,yes,yes,unknown,26,may,171,1,-1,0,unknown,no
1673,31,technician,single,tertiary,no,948,yes,no,unknown,8,may,91,2,-1,0,unknown,no
1674,30,admin.,married,secondary,no,873,yes,no,unknown,29,may,792,3,-1,0,unknown,yes
1675,32,blue-collar,single,primary,no,5418,yes,no,unknown,6,jun,25,6,-1,0,unknown,no
1676,33,admin.,divorced,secondary,no,140,yes,no,unknown,8,may,139,1,-1,0,unknown,no
1677,57,blue-collar,married,primary,no,1502,yes,no,unknown,28,may,269,2,-1,0,unknown,no
1678,36,blue-collar,single,primary,no,4519,yes,no,unknown,23,may,117,2,-1,0,unknown,no
1679,23,blue-collar,single,secondary,yes,-207,yes,no,unknown,3,jun,277,1,-1,0,unknown,no
1680,52,admin.,divorced,secondary,no,131,yes,yes,unknown,13,may,145,1,-1,0,unknown,no
1681,35,technician,single,secondary,no,1708,yes,no,unknown,2,jun,110,3,-1,0,unknown,no
1682,38,admin.,married,secondary,no,1839,no,no,unknown,23,may,63,2,-1,0,unknown,no
1683,40,retired,married,secondary,no,263,no,no,unknown,6,jun,761,3,-1,0,unknown,no
1684,52,services,married,primary,no,-585,yes,yes,unknown,27,may,201,2,-1,0,unknown,no
1685,49,blue-collar,married,secondary,no,2219,yes,no,unknown,15,may,51,2,-1,0,unknown,no
1686,28,management,single,tertiary,no,1086,yes,no,unknown,29,may,128,2,-1,0,unknown,no
1687,52,admin.,single,secondary,no,1964,no,yes,unknown,28,may,332,1,-1,0,unknown,no
1688,35,management,single,tertiary,no,870,yes,no,unknown,29,may,188,6,-1,0,unknown,no
1689,30,blue-collar,married,secondary,no,9,yes,no,unknown,20,may,184,1,-1,0,unknown,no
1690,56,retired,married,secondary,no,1678,yes,no,unknown,15,may,79,1,-1,0,unknown,no
1691,30,technician,single,secondary,no,518,yes,no,unknown,2,jun,21,1,-1,0,unknown,no
1692,38,services,married,secondary,no,507,yes,no,unknown,8,may,95,1,-1,0,unknown,no
1693,42,self-employed,married,secondary,no,106,yes,no,unknown,8,may,515,3,-1,0,unknown,no
1694,42,blue-collar,married,primary,no,250,yes,no,unknown,4,jun,46,16,-1,0,unknown,no
1695,46,admin.,married,secondary,no,120,yes,no,unknown,14,may,20,11,-1,0,unknown,no
1696,32,management,divorced,primary,no,137,yes,no,unknown,20,may,13,12,-1,0,unknown,no
1697,27,blue-collar,single,secondary,no,5,yes,no,unknown,19,may,205,3,-1,0,unknown,no
1698,25,services,single,secondary,no,-61,yes,no,unknown,21,may,203,2,-1,0,unknown,no
1699,42,technician,married,secondary,no,0,yes,no,unknown,8,may,66,2,-1,0,unknown,no
1700,42,technician,divorced,secondary,no,0,yes,no,unknown,30,may,115,6,-1,0,unknown,no
1701,56,blue-collar,married,primary,no,-85,yes,yes,unknown,26,may,118,1,-1,0,unknown,no
1702,29,services,single,secondary,no,32,yes,no,unknown,4,jun,563,1,-1,0,unknown,yes
1703,58,blue-collar,married,primary,no,-91,yes,no,unknown,9,may,164,5,-1,0,unknown,no
1704,44,housemaid,married,primary,yes,-972,yes,yes,unknown,16,may,114,2,-1,0,unknown,no
1705,26,technician,married,tertiary,no,450,yes,yes,unknown,12,may,1266,1,-1,0,unknown,no
1706,59,blue-collar,married,primary,no,3587,no,yes,unknown,5,jun,118,2,-1,0,unknown,no
1707,34,blue-collar,married,secondary,no,2495,yes,no,unknown,23,may,924,1,-1,0,unknown,yes
1708,28,blue-collar,married,secondary,no,1958,yes,no,unknown,3,jun,196,1,-1,0,unknown,no
1709,30,management,single,tertiary,no,528,yes,no,unknown,8,may,145,4,-1,0,unknown,no
1710,22,blue-collar,single,primary,no,3198,yes,no,unknown,28,may,109,2,-1,0,unknown,no
1711,37,technician,single,secondary,no,0,no,no,unknown,5,jun,80,2,-1,0,unknown,no
1712,53,unemployed,married,secondary,no,582,yes,no,unknown,8,may,96,2,-1,0,unknown,no
1713,56,retired,divorced,primary,no,0,no,no,unknown,5,jun,27,1,-1,0,unknown,no
1714,45,management,married,secondary,no,0,no,no,unknown,5,jun,65,2,-1,0,unknown,no
1715,39,management,married,tertiary,no,0,yes,no,unknown,3,jun,164,2,-1,0,unknown,no
1716,40,management,married,tertiary,no,-130,yes,no,unknown,28,may,154,2,-1,0,unknown,no
1717,53,services,married,primary,no,46,yes,no,unknown,7,may,274,1,-1,0,unknown,no
1718,59,blue-collar,single,primary,no,96,yes,no,unknown,9,may,123,1,-1,0,unknown,no
1719,30,services,single,secondary,no,862,yes,yes,unknown,20,may,550,2,-1,0,unknown,no
1720,41,services,single,secondary,no,323,yes,no,unknown,15,may,122,6,-1,0,unknown,no
1721,48,housemaid,married,tertiary,no,468,yes,no,unknown,14,may,220,1,-1,0,unknown,no
1722,49,blue-collar,married,primary,no,198,yes,no,unknown,6,may,200,2,-1,0,unknown,no
1723,43,blue-collar,divorced,primary,no,92,yes,no,unknown,15,may,237,2,-1,0,unknown,no
1724,42,blue-collar,married,primary,no,480,yes,no,unknown,6,jun,288,12,-1,0,unknown,no
1725,45,technician,divorced,secondary,no,23,yes,no,unknown,27,may,62,4,-1,0,unknown,no
1726,51,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,79,1,-1,0,unknown,no
1727,46,blue-collar,married,secondary,no,1733,yes,no,unknown,14,may,546,1,-1,0,unknown,no
1728,23,blue-collar,single,secondary,no,492,yes,no,unknown,4,jun,638,1,-1,0,unknown,yes
1729,30,services,single,secondary,no,442,yes,no,unknown,16,may,283,3,-1,0,unknown,no
1730,38,services,single,primary,no,471,yes,no,unknown,21,may,180,1,-1,0,unknown,no
1731,35,blue-collar,married,secondary,no,325,no,no,unknown,12,may,592,2,-1,0,unknown,no
1732,38,blue-collar,married,primary,no,315,yes,no,unknown,27,may,173,3,-1,0,unknown,no
1733,40,technician,married,secondary,no,697,yes,no,unknown,8,may,111,1,-1,0,unknown,no
1734,41,technician,married,secondary,no,225,yes,yes,unknown,8,may,63,2,-1,0,unknown,no
1735,28,admin.,single,secondary,no,296,yes,no,unknown,13,may,218,1,-1,0,unknown,no
1736,59,entrepreneur,married,tertiary,no,-820,no,no,unknown,8,may,43,2,-1,0,unknown,no
1737,28,unemployed,married,secondary,no,863,yes,yes,unknown,27,may,355,1,-1,0,unknown,no
1738,28,management,single,secondary,no,471,yes,yes,unknown,19,may,123,2,-1,0,unknown,no
1739,47,management,divorced,tertiary,no,313,yes,no,unknown,6,jun,114,7,-1,0,unknown,no
1740,56,management,married,secondary,no,230,no,no,unknown,9,may,73,4,-1,0,unknown,no
1741,60,admin.,married,unknown,no,738,no,no,unknown,19,may,529,3,-1,0,unknown,no
1742,39,blue-collar,married,secondary,no,607,yes,no,unknown,6,may,99,2,-1,0,unknown,no
1743,39,blue-collar,married,secondary,no,599,yes,no,unknown,6,jun,53,1,-1,0,unknown,no
1744,32,blue-collar,married,primary,no,1261,yes,no,unknown,23,may,132,1,-1,0,unknown,no
1745,58,services,married,secondary,no,0,yes,no,unknown,15,may,183,5,-1,0,unknown,no
1746,39,blue-collar,single,primary,no,1790,yes,no,unknown,4,jun,229,6,-1,0,unknown,no
1747,47,blue-collar,divorced,primary,no,126,yes,no,unknown,3,jun,2456,2,-1,0,unknown,yes
1748,21,blue-collar,single,secondary,no,614,yes,no,unknown,13,may,243,3,-1,0,unknown,no
1749,34,housemaid,single,secondary,no,1408,yes,no,unknown,23,may,245,1,-1,0,unknown,no
1750,37,admin.,divorced,tertiary,no,4303,yes,no,unknown,23,may,168,1,-1,0,unknown,no
1751,48,admin.,married,secondary,no,1099,no,yes,unknown,5,jun,340,1,-1,0,unknown,no
1752,26,management,single,tertiary,no,-630,yes,yes,unknown,3,jun,192,2,-1,0,unknown,no
1753,44,services,single,secondary,no,-389,yes,no,unknown,30,may,207,4,-1,0,unknown,no
1754,45,blue-collar,divorced,primary,no,6,yes,no,unknown,2,jun,159,6,-1,0,unknown,no
1755,33,blue-collar,married,secondary,no,152,yes,no,unknown,13,may,351,2,-1,0,unknown,no
1756,44,management,married,unknown,no,187,yes,no,unknown,7,may,185,1,-1,0,unknown,no
1757,54,management,married,tertiary,no,313,yes,no,unknown,5,may,83,2,-1,0,unknown,no
1758,36,blue-collar,married,secondary,no,63,yes,no,unknown,16,may,322,2,-1,0,unknown,no
1759,33,management,married,secondary,yes,879,yes,no,unknown,8,may,245,1,-1,0,unknown,no
1760,43,blue-collar,married,secondary,no,1096,no,yes,unknown,30,may,180,1,-1,0,unknown,no
1761,38,technician,single,secondary,no,2751,yes,no,unknown,28,may,185,1,-1,0,unknown,no
1762,46,management,married,secondary,no,3714,yes,no,unknown,15,may,86,1,-1,0,unknown,no
1763,46,services,married,secondary,no,2019,yes,no,unknown,8,may,357,1,-1,0,unknown,no
1764,41,management,married,tertiary,no,140,yes,no,unknown,5,jun,65,3,-1,0,unknown,no
1765,30,blue-collar,married,secondary,no,363,yes,no,unknown,28,may,132,1,-1,0,unknown,no
1766,42,management,married,tertiary,no,-409,no,no,unknown,3,jun,290,3,-1,0,unknown,no
1767,48,unemployed,married,primary,no,296,yes,no,unknown,9,may,164,8,-1,0,unknown,no
1768,43,blue-collar,married,secondary,no,4309,yes,no,unknown,2,jun,43,15,-1,0,unknown,no
1769,40,blue-collar,married,primary,no,0,yes,no,unknown,3,jun,329,3,-1,0,unknown,no
1770,39,blue-collar,married,secondary,no,11,no,no,unknown,29,may,199,2,-1,0,unknown,no
1771,58,blue-collar,married,primary,no,99,yes,no,unknown,20,may,215,3,-1,0,unknown,no
1772,50,blue-collar,married,secondary,no,464,no,yes,unknown,6,jun,426,2,-1,0,unknown,no
1773,56,technician,married,secondary,no,28,yes,no,unknown,15,may,236,1,-1,0,unknown,no
1774,52,technician,married,secondary,no,5006,yes,no,unknown,15,may,112,1,-1,0,unknown,no
1775,29,technician,single,secondary,no,309,yes,no,unknown,13,may,214,1,-1,0,unknown,no
1776,49,technician,single,secondary,no,-97,yes,no,unknown,6,jun,92,2,-1,0,unknown,no
1777,43,admin.,single,secondary,no,2539,yes,no,unknown,16,may,529,4,-1,0,unknown,no
1778,36,blue-collar,married,secondary,no,-185,yes,no,unknown,27,may,163,2,-1,0,unknown,no
1779,49,technician,divorced,secondary,no,-1547,yes,yes,unknown,27,may,492,3,-1,0,unknown,no
1780,37,technician,married,secondary,no,507,yes,yes,unknown,23,may,157,1,-1,0,unknown,no
1781,30,self-employed,single,tertiary,no,253,yes,no,unknown,23,may,167,4,-1,0,unknown,no
1782,39,admin.,single,secondary,no,113,yes,no,unknown,6,may,342,1,-1,0,unknown,no
1783,40,blue-collar,married,primary,no,3736,yes,no,unknown,19,may,29,3,-1,0,unknown,no
1784,42,blue-collar,married,secondary,no,1307,yes,no,unknown,30,may,135,3,-1,0,unknown,no
1785,55,blue-collar,married,primary,no,431,yes,no,unknown,12,may,68,2,-1,0,unknown,no
1786,32,management,single,tertiary,no,3050,yes,no,unknown,23,may,298,1,-1,0,unknown,no
1787,35,unemployed,married,tertiary,no,226,no,no,unknown,27,may,322,5,-1,0,unknown,no
1788,53,blue-collar,married,secondary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
1789,47,blue-collar,married,secondary,no,116,yes,no,unknown,8,may,376,2,-1,0,unknown,no
1790,45,admin.,married,secondary,no,-261,yes,no,unknown,29,may,144,1,-1,0,unknown,no
1791,34,blue-collar,married,primary,no,365,yes,no,unknown,9,may,85,2,-1,0,unknown,no
1792,56,management,married,primary,no,7747,no,no,unknown,5,jun,103,2,-1,0,unknown,no
1793,43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes
1794,23,blue-collar,single,secondary,no,13,yes,yes,unknown,27,may,280,3,-1,0,unknown,no
1795,31,technician,married,secondary,no,510,yes,no,unknown,21,may,117,3,-1,0,unknown,no
1796,60,blue-collar,married,primary,no,4903,no,yes,unknown,9,jun,290,1,-1,0,unknown,no
1797,42,admin.,married,secondary,no,4209,yes,no,unknown,5,jun,57,6,-1,0,unknown,no
1798,35,technician,divorced,secondary,no,556,yes,no,unknown,13,may,214,1,-1,0,unknown,no
1799,41,management,married,tertiary,no,1132,no,no,unknown,15,may,95,4,-1,0,unknown,no
1800,35,blue-collar,married,secondary,no,-659,yes,yes,unknown,28,may,30,2,-1,0,unknown,no
1801,47,services,divorced,secondary,no,430,yes,yes,unknown,14,may,335,1,-1,0,unknown,no
1802,51,management,married,tertiary,no,10635,yes,no,unknown,5,may,336,1,-1,0,unknown,no
1803,50,blue-collar,married,secondary,no,2087,yes,no,unknown,14,may,371,1,-1,0,unknown,no
1804,38,blue-collar,married,secondary,no,1434,no,no,unknown,6,jun,396,4,-1,0,unknown,no
1805,58,retired,married,tertiary,no,44,yes,no,unknown,8,may,12,2,-1,0,unknown,no
1806,36,blue-collar,single,secondary,no,2390,yes,no,unknown,20,may,446,12,-1,0,unknown,no
1807,50,technician,married,secondary,no,103,yes,no,unknown,12,may,79,6,-1,0,unknown,no
1808,44,blue-collar,married,secondary,no,6491,yes,no,unknown,29,may,244,1,-1,0,unknown,no
1809,40,unemployed,married,secondary,no,3382,yes,no,unknown,14,may,125,1,-1,0,unknown,no
1810,23,services,married,secondary,no,0,yes,yes,unknown,26,may,90,5,-1,0,unknown,no
1811,45,services,married,secondary,no,22,yes,no,unknown,8,may,209,3,-1,0,unknown,no
1812,40,technician,single,secondary,no,5637,yes,no,unknown,30,may,553,3,-1,0,unknown,yes
1813,36,blue-collar,married,secondary,no,520,yes,no,unknown,23,may,110,2,-1,0,unknown,no
1814,50,blue-collar,divorced,primary,no,31,yes,no,unknown,9,may,237,3,-1,0,unknown,no
1815,31,entrepreneur,single,secondary,no,159,yes,no,unknown,23,may,533,1,-1,0,unknown,no
1816,52,management,married,primary,no,226,yes,no,unknown,9,may,86,4,-1,0,unknown,no
1817,31,admin.,single,secondary,no,296,yes,no,unknown,13,may,161,1,-1,0,unknown,no
1818,49,technician,married,secondary,no,-215,yes,no,unknown,26,may,155,2,-1,0,unknown,no
1819,21,services,married,secondary,no,0,yes,yes,unknown,15,may,168,5,-1,0,unknown,no
1820,34,services,married,secondary,no,1414,yes,no,unknown,26,may,192,4,-1,0,unknown,no
1821,37,admin.,married,secondary,no,439,no,no,unknown,9,jun,321,1,-1,0,unknown,no
1822,31,blue-collar,married,secondary,no,1039,yes,no,unknown,28,may,44,7,-1,0,unknown,no
1823,41,admin.,married,secondary,no,4320,yes,no,unknown,5,jun,245,2,-1,0,unknown,no
1824,51,admin.,married,primary,no,2281,yes,yes,unknown,5,jun,163,1,-1,0,unknown,no
1825,36,self-employed,married,tertiary,no,19,no,no,unknown,5,may,189,2,-1,0,unknown,no
1826,48,blue-collar,divorced,primary,no,-18,yes,no,unknown,8,may,11,1,-1,0,unknown,no
1827,38,admin.,married,secondary,no,0,yes,no,unknown,23,may,353,2,-1,0,unknown,no
1828,41,technician,married,secondary,no,261,no,yes,unknown,5,jun,222,1,-1,0,unknown,no
1829,41,admin.,married,secondary,no,0,yes,no,unknown,9,jun,65,3,-1,0,unknown,no
1830,33,management,single,primary,no,4897,yes,no,unknown,20,may,151,1,-1,0,unknown,no
1831,46,technician,married,tertiary,no,675,yes,no,unknown,8,may,50,1,-1,0,unknown,no
1832,40,entrepreneur,married,tertiary,no,1953,yes,no,unknown,6,jun,112,5,-1,0,unknown,no
1833,33,admin.,single,secondary,no,1221,yes,no,unknown,23,may,245,1,-1,0,unknown,no
1834,28,blue-collar,married,secondary,no,708,yes,no,unknown,6,jun,339,5,-1,0,unknown,no
1835,58,management,married,tertiary,no,211,no,no,unknown,7,may,103,2,-1,0,unknown,no
1836,34,technician,married,secondary,no,149,yes,no,unknown,29,may,153,2,-1,0,unknown,no
1837,30,technician,single,secondary,no,3107,yes,no,unknown,3,jun,1516,2,-1,0,unknown,no
1838,38,admin.,married,secondary,no,-247,yes,no,unknown,27,may,265,4,-1,0,unknown,no
1839,59,housemaid,married,primary,no,0,no,no,unknown,5,jun,307,1,-1,0,unknown,no
1840,38,entrepreneur,single,secondary,no,473,yes,yes,unknown,30,may,133,4,-1,0,unknown,no
1841,32,blue-collar,married,secondary,no,43,yes,no,unknown,21,may,173,2,-1,0,unknown,no
1842,50,technician,single,tertiary,no,0,yes,no,unknown,8,may,393,2,-1,0,unknown,no
1843,49,technician,married,secondary,no,3657,yes,no,unknown,15,may,328,4,-1,0,unknown,no
1844,31,technician,single,tertiary,no,491,yes,no,unknown,8,may,237,1,-1,0,unknown,no
1845,43,services,married,secondary,no,1450,yes,no,unknown,4,jun,227,2,-1,0,unknown,no
1846,36,management,married,tertiary,no,806,yes,no,unknown,20,may,280,1,-1,0,unknown,no
1847,41,entrepreneur,divorced,tertiary,no,252,no,no,unknown,15,may,57,2,-1,0,unknown,no
1848,48,blue-collar,married,secondary,no,1230,yes,yes,unknown,7,may,152,3,-1,0,unknown,no
1849,23,student,single,secondary,no,4409,yes,no,unknown,4,jun,299,1,-1,0,unknown,no
1850,39,self-employed,divorced,secondary,yes,-103,no,yes,unknown,5,jun,210,3,-1,0,unknown,no
1851,55,services,married,primary,no,255,yes,no,unknown,6,may,285,1,-1,0,unknown,no
1852,55,blue-collar,divorced,primary,no,39,yes,no,unknown,13,may,343,1,-1,0,unknown,no
1853,37,management,married,tertiary,no,0,yes,no,unknown,12,may,346,4,-1,0,unknown,no
1854,30,management,single,tertiary,no,2317,yes,no,unknown,26,may,260,5,-1,0,unknown,no
1855,42,management,married,secondary,no,12282,yes,no,unknown,2,jun,984,4,-1,0,unknown,no
1856,46,technician,divorced,secondary,no,3455,yes,no,unknown,14,may,566,2,-1,0,unknown,no
1857,31,services,married,secondary,no,-68,yes,no,unknown,26,may,293,4,-1,0,unknown,no
1858,29,student,single,secondary,no,200,yes,no,unknown,4,jun,87,2,-1,0,unknown,no
1859,30,blue-collar,single,secondary,no,17,yes,no,unknown,29,may,197,9,-1,0,unknown,no
1860,22,admin.,single,secondary,no,-1,yes,no,unknown,9,may,136,1,-1,0,unknown,no
1861,41,blue-collar,married,secondary,yes,-651,yes,yes,unknown,26,may,374,1,-1,0,unknown,no
1862,35,management,single,secondary,no,5260,yes,no,unknown,20,may,211,2,-1,0,unknown,no
1863,37,blue-collar,married,primary,no,0,yes,no,unknown,5,may,79,1,-1,0,unknown,no
1864,53,services,married,secondary,no,1788,yes,no,unknown,29,may,253,2,-1,0,unknown,no
1865,38,management,single,tertiary,no,900,yes,no,unknown,2,jun,156,1,-1,0,unknown,no
1866,35,blue-collar,single,primary,no,227,no,yes,unknown,5,jun,414,1,-1,0,unknown,no
1867,29,services,married,secondary,no,68,no,no,unknown,20,may,119,3,-1,0,unknown,no
1868,50,blue-collar,married,secondary,no,170,yes,yes,unknown,19,may,234,13,-1,0,unknown,no
1869,33,blue-collar,married,secondary,no,-10,yes,no,unknown,6,may,123,1,-1,0,unknown,no
1870,28,technician,single,tertiary,no,1050,yes,no,unknown,26,may,293,1,-1,0,unknown,no
1871,28,entrepreneur,married,secondary,no,8,yes,no,unknown,27,may,1297,1,-1,0,unknown,no
1872,40,blue-collar,married,secondary,yes,-94,yes,yes,unknown,7,may,227,1,-1,0,unknown,no
1873,51,blue-collar,divorced,secondary,no,1069,yes,no,unknown,30,may,247,2,-1,0,unknown,no
1874,33,blue-collar,single,secondary,no,855,no,no,unknown,28,may,99,5,-1,0,unknown,no
1875,60,blue-collar,married,secondary,no,2620,yes,no,unknown,30,may,523,1,-1,0,unknown,no
1876,44,blue-collar,married,secondary,no,138,yes,no,unknown,8,may,283,3,-1,0,unknown,no
1877,46,blue-collar,married,secondary,no,-371,yes,no,unknown,27,may,138,1,-1,0,unknown,no
1878,47,blue-collar,married,primary,no,502,yes,no,unknown,14,may,28,2,-1,0,unknown,no
1879,35,management,married,tertiary,no,1550,yes,no,unknown,29,may,1611,2,-1,0,unknown,no
1880,48,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,286,1,-1,0,unknown,no
1881,49,blue-collar,married,primary,no,1387,yes,yes,unknown,9,may,161,2,-1,0,unknown,no
1882,30,management,married,tertiary,no,-27,yes,no,unknown,27,may,29,2,-1,0,unknown,no
1883,43,management,single,secondary,no,1029,yes,no,unknown,2,jun,145,1,-1,0,unknown,no
1884,29,admin.,married,secondary,no,-526,yes,no,unknown,28,may,314,2,-1,0,unknown,no
1885,34,blue-collar,married,primary,no,6575,yes,no,unknown,26,may,405,4,-1,0,unknown,no
1886,31,blue-collar,married,secondary,no,2577,yes,no,unknown,13,may,611,2,-1,0,unknown,no
1887,46,blue-collar,married,secondary,no,756,yes,no,unknown,15,may,401,7,-1,0,unknown,no
1888,34,technician,single,secondary,no,951,yes,no,unknown,21,may,343,1,-1,0,unknown,no
1889,36,technician,single,secondary,no,7503,yes,no,unknown,4,jun,25,1,-1,0,unknown,no
1890,25,management,married,tertiary,no,784,yes,yes,unknown,12,may,104,2,-1,0,unknown,no
1891,56,retired,married,secondary,no,74,yes,no,unknown,26,may,152,2,-1,0,unknown,no
1892,28,services,married,secondary,no,1214,no,no,unknown,28,may,582,1,-1,0,unknown,no
1893,43,blue-collar,married,primary,no,1211,yes,no,unknown,6,may,208,3,-1,0,unknown,no
1894,48,services,divorced,secondary,no,403,yes,no,unknown,14,may,364,1,-1,0,unknown,no
1895,36,technician,married,secondary,no,-8,yes,no,unknown,26,may,180,2,-1,0,unknown,no
1896,27,services,married,primary,no,91,yes,no,unknown,8,may,168,2,-1,0,unknown,no
1897,23,technician,single,tertiary,no,1129,yes,no,unknown,28,may,806,1,-1,0,unknown,yes
1898,42,management,married,tertiary,no,0,no,no,unknown,20,may,66,12,-1,0,unknown,no
1899,36,blue-collar,married,unknown,no,722,yes,no,unknown,20,may,268,2,-1,0,unknown,no
1900,39,technician,married,secondary,yes,-183,yes,no,unknown,14,may,202,2,-1,0,unknown,no
1901,33,blue-collar,married,secondary,no,0,no,no,unknown,23,may,211,3,-1,0,unknown,no
1902,36,blue-collar,single,primary,no,2176,yes,no,unknown,28,may,52,2,-1,0,unknown,no
1903,29,admin.,single,secondary,no,132,no,no,unknown,23,may,314,3,-1,0,unknown,no
1904,25,blue-collar,single,secondary,no,335,yes,no,unknown,13,may,164,1,-1,0,unknown,no
1905,53,blue-collar,married,secondary,no,1140,yes,no,unknown,15,may,241,32,-1,0,unknown,no
1906,34,technician,married,secondary,no,4,yes,no,unknown,15,may,644,1,-1,0,unknown,no
1907,34,self-employed,single,secondary,no,3,yes,no,unknown,5,may,301,1,-1,0,unknown,no
1908,57,technician,married,secondary,no,437,yes,no,unknown,19,may,44,4,-1,0,unknown,no
1909,46,management,married,primary,no,-268,yes,no,unknown,27,may,99,1,-1,0,unknown,no
1910,58,retired,married,secondary,no,-205,yes,no,unknown,23,may,253,2,-1,0,unknown,no
1911,54,services,married,secondary,no,88,yes,no,unknown,13,may,190,1,-1,0,unknown,no
